season,farm,"
Site","
type_forest ","
distan_Forest ","
replication","
rep_time","
mort_factor","
prob_mortality         "
19_20,Palmital,8,Galeria,5,1,1,Pred,"0,224"
19_20,Palmital,8,Galeria,5,1,1,Dessic,"0,020"
19_20,Palmital,8,Galeria,5,1,1,Infert,"0,000"
19_20,Palmital,8,Galeria,5,1,1,Dislodg,"0,000"
19_20,Palmital,8,Galeria,5,1,1,Unknown,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Pred,"0,204"
19_20,Palmital,8,Galeria,100,1,1,Dessic,"0,013"
19_20,Palmital,8,Galeria,100,1,1,Infert,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Dislodg,"0,000"
19_20,Palmital,8,Galeria,100,1,1,Unknown,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Pred,"1,000"
19_20,Palmital,6,Galeria,5,2,1,Dessic,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Infert,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Dislodg,"0,000"
19_20,Palmital,6,Galeria,5,2,1,Unknown,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Pred,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Dessic,"0,118"
19_20,Palmital,6,Galeria,100,2,1,Infert,"0,059"
19_20,Palmital,6,Galeria,100,2,1,Dislodg,"0,000"
19_20,Palmital,6,Galeria,100,2,1,Unknown,"0,298"
19_20,Rodrigo,7,Galeria,5,3,1,Pred,"0,224"
19_20,Rodrigo,7,Galeria,5,3,1,Dessic,"0,139"
19_20,Rodrigo,7,Galeria,5,3,1,Infert,"0,000"
19_20,Rodrigo,7,Galeria,5,3,1,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,5,3,1,Unknown,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Pred,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Dessic,"0,110"
19_20,Rodrigo,7,Galeria,100,3,1,Infert,"0,017"
19_20,Rodrigo,7,Galeria,100,3,1,Dislodg,"0,000"
19_20,Rodrigo,7,Galeria,100,3,1,Unknown,"0,068"
19_20,Palmital,8,Galeria,5,1,2,Pred,"0,714"
19_20,Palmital,8,Galeria,5,1,2,Dessic,"0,000"
19_20,Palmital,8,Galeria,5,1,2,Infert,"0,286"
19_20,Palmital,8,Galeria,5,1,2,Dislodg,"0,000"
19_20,Palmital,8,Galeria,5,1,2,Unknown,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Pred,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Dessic,"0,364"
19_20,Palmital,8,Galeria,100,1,2,Infert,"0,156"
19_20,Palmital,8,Galeria,100,1,2,Dislodg,"0,000"
19_20,Palmital,8,Galeria,100,1,2,Unknown,"0,000"
